,silhouette_score
108013,-0.672002577116123
108014,-0.7008710439585433
108015,-0.925697959537538
108017,-0.882238923440293
108030,-0.7486181254881964
108037,-0.6813112515214459
108043,-0.8983312613128941
108052,-0.8328429683356146
108058,-0.692864920012309
108062,-0.6779181339215783
108067,-0.707939890059988
108068,-0.8609930353028664
108069,-0.6784972326140103
108071,-0.58103798882553
108072,-0.8660725871083765
108073,-0.5775733280205408
108075,-0.7854762901530901
108077,-0.5659029198782028
108078,-0.895671561472297
108079,-0.7881065810027842
108083,-0.7435773745124235
108086,-0.6022013656440028
108089,-0.8619905295552661
108096,-0.8845638081450421
108097,-0.8666220481403009
108098,-0.6284887457667124
108099,-0.6220712889658888
108100,-0.6411366291647312
108101,-0.6070989861877657
108105,-0.8950826092744748
108112,-0.865203788015273
